Slot,Square,Multiply,Reduce
397,0,42,41
398,0,42,41
399,0,42,41
400,0,42,41
401,41,0,41
402,41,42,41
403,0,42,41
404,0,42,41
405,0,42,41
406,41,42,41
407,0,42,41
408,0,42,0
409,0,42,41
410,0,42,41
411,0,42,41
412,41,0,41
413,0,42,41
414,0,42,41
415,0,42,41
416,0,42,41
417,0,42,41
418,41,42,41
419,0,42,41
420,41,0,41
421,41,42,41
422,0,0,41
423,0,42,41
424,0,42,41
425,41,42,41
426,0,42,41
427,41,42,41
428,41,42,41
429,0,0,41
430,0,42,41
431,0,0,41
432,0,42,41
433,0,42,0
434,0,42,41
435,0,42,41
436,41,42,41
437,0,42,41
438,0,42,41
439,0,42,41
440,41,42,41
441,0,42,41
442,0,42,41
443,0,42,41
444,0,42,41
445,41,42,41
446,41,42,41
447,0,42,41
448,0,42,41
449,41,0,41
450,41,42,41
451,0,42,41
452,41,42,41
453,0,42,41
454,0,42,41
455,0,0,41
456,41,42,41
457,0,42,41
458,0,42,41
459,0,42,41
460,0,42,41
461,0,42,41
462,0,42,41
463,0,0,41
464,41,0,41
465,0,42,41
466,0,42,41
467,0,42,41
468,0,42,41
469,0,42,41
470,41,0,41
471,0,42,41
472,0,42,41
473,0,42,41
474,0,42,41
475,0,42,41
476,42,42,0
477,0,42,41
478,0,42,41
479,0,42,41
480,41,42,41
481,41,42,41
482,0,42,41
483,0,42,41
484,0,42,41
485,0,42,41
486,41,0,41
487,42,42,0
488,0,42,41
489,0,42,41
490,0,42,41
491,0,42,41
492,41,0,41
493,0,42,41
494,41,0,41
495,0,42,41
496,0,42,41
497,0,42,0
498,0,42,41
499,0,42,41
500,0,42,41
501,0,42,41
502,0,42,41
503,0,42,41
504,0,42,41
505,41,42,41
506,0,42,41
507,0,42,41
508,0,42,41
509,0,42,41
510,0,42,41
511,0,42,41
512,41,0,41
513,0,42,41
514,0,42,41
515,0,42,41
516,41,0,41
517,41,42,41
518,0,42,41
519,0,42,41
520,0,42,41
521,0,42,41
522,0,42,41
523,0,0,41
524,0,42,0
525,0,42,41
526,0,42,41
527,0,42,41
528,42,42,0
529,0,42,41
530,0,42,41
531,0,42,41
532,0,42,41
533,0,42,41
534,0,42,41
535,0,42,41
536,0,42,41
537,0,42,41
538,0,42,0
539,0,42,41
540,0,41,0
541,0,42,41
542,0,42,41
543,0,42,41
544,41,42,41
545,41,0,41
546,0,42,41
547,0,42,41
548,41,42,41
549,0,42,41
550,0,42,41
551,0,42,41
552,0,0,41
553,0,42,41
554,0,42,41
555,0,42,41
556,0,0,42
557,0,0,0
558,41,0,41
559,0,0,41
560,42,42,42
561,0,42,41
562,0,42,41
563,0,42,41
564,41,0,41
565,0,42,42
566,0,42,41
567,0,42,41
568,0,42,41
569,0,42,41
570,0,42,41
571,0,42,41
572,0,42,41
573,0,42,41
574,0,42,41
575,0,42,41
576,0,42,41
577,0,42,41
578,0,42,41
579,0,42,41
580,0,42,41
581,0,42,41
582,0,42,41
583,41,0,41
584,42,42,0
585,0,42,41
586,0,42,41
587,41,42,41
588,0,42,41
589,0,0,41
590,0,42,41
591,0,42,41
592,0,42,41
593,0,42,41
594,0,42,41
595,41,42,41
596,0,42,41
597,0,42,41
598,0,0,41
599,41,0,41
600,0,42,41
601,41,0,41
602,41,42,41
603,0,42,41
604,0,42,41
605,0,42,41
606,0,42,41
607,0,42,0
608,0,42,41
609,0,42,41
610,0,42,41
611,0,42,41
612,0,42,41
613,0,42,41
614,0,42,41
615,0,42,41
616,0,42,41
617,0,42,41
618,0,42,41
619,41,42,41
620,0,42,41
621,0,42,41
622,0,42,41
623,0,42,41
624,0,42,41
625,0,42,41
626,0,42,41
627,0,42,41
628,0,42,41
629,0,0,41
630,41,42,41
631,0,42,41
632,0,42,41
633,0,42,41
634,0,42,41
635,0,42,41
636,41,0,41
637,41,42,41
638,42,42,0
639,0,42,41
640,41,42,41
641,0,42,41
642,41,0,41
643,0,42,41
644,0,42,41
645,0,42,41
646,0,42,41
647,0,42,41
648,0,42,0
649,0,42,41
650,0,0,41
651,41,42,41
652,0,42,41
653,0,42,41
654,0,42,41
655,0,42,41
656,41,0,41
657,0,42,41
658,0,42,41
659,0,42,41
660,42,42,0
661,0,42,41
662,0,42,41
663,0,42,41
664,0,42,41
665,0,42,41
666,41,0,41
667,0,42,41
668,0,42,41
669,0,42,41
670,0,42,41
671,0,0,41
672,0,42,41
673,42,42,0
674,0,42,41
675,0,42,41
676,0,42,41
677,0,42,41
678,0,42,41
679,0,42,41
680,0,42,41
681,0,42,41
682,0,42,41
683,0,42,41
684,41,42,41
685,0,42,41
686,41,0,41
687,0,42,41
688,0,42,41
689,0,42,41
690,0,42,41
691,0,42,41
692,0,42,41
693,0,0,41
694,0,42,41
695,0,42,0
696,42,42,0
697,41,0,41
698,41,0,41
699,0,42,41
700,0,42,41
701,0,42,41
702,41,0,41
703,0,0,41
704,0,42,41
705,41,42,41
706,0,42,41
707,0,42,41
708,0,42,41
709,0,42,41
710,0,42,41
711,41,42,41
712,0,42,41
713,0,42,0
714,0,42,41
715,0,42,41
716,0,42,41
717,0,42,41
718,41,0,41
719,0,42,0
720,42,42,0
721,41,0,41
722,41,42,41
723,0,42,41
724,0,42,41
725,0,42,41
726,0,0,41
727,0,42,41
728,41,0,41
729,41,0,41
730,0,42,41
731,0,42,41
732,0,42,41
733,0,42,41
734,0,42,41
735,0,42,41
736,0,42,41
737,0,42,41
738,41,0,41
739,41,42,41
740,42,42,0
741,0,0,41
742,0,42,41
743,0,42,41
744,0,42,41
745,0,42,41
746,0,42,41
747,0,42,41
748,0,42,42
749,0,42,41
750,0,42,41
751,0,42,41
752,0,42,41
753,0,42,41
754,0,42,41
755,0,42,41
756,41,0,41
757,0,0,41
758,41,0,41
759,0,42,41
760,0,42,41
761,41,0,41
762,0,42,41
763,0,42,41
764,0,42,41
765,0,42,41
766,0,42,41
767,0,42,41
768,0,0,41
769,0,0,41
770,0,42,41
771,0,42,41
772,41,0,41
773,41,0,41
774,0,42,41
775,42,42,0
776,0,42,41
777,0,42,41
778,0,42,41
779,0,42,41
780,0,42,41
781,41,0,41
782,0,42,41
783,42,42,0
784,0,42,41
785,0,42,41
786,0,42,41
787,0,42,41
788,42,42,0
789,0,42,41
790,0,42,41
791,0,42,41
792,41,0,41
793,0,0,41
794,83,0,42
795,0,42,41
796,0,42,41
797,0,42,41
798,0,42,41
799,0,42,41
800,0,42,41
801,0,42,41
802,0,42,42
803,42,41,84
804,0,83,84
805,42,83,42
806,42,41,84
807,42,41,42
808,42,83,42
809,42,41,42
810,42,41,84
811,42,41,84
812,42,83,42
813,42,41,42
814,0,41,83
815,42,83,42
816,42,41,42
817,42,83,84
818,0,41,42
819,42,41,42
820,0,42,42
821,42,41,42
822,42,41,42
823,0,42,41
824,0,42,41
825,0,42,0
826,0,42,41
827,42,42,42
828,0,42,41
829,0,42,41
830,0,42,41
831,0,42,41
832,42,42,42
833,0,42,41
834,0,42,42
835,42,42,42
836,0,42,41
837,0,42,41
838,0,42,41
839,0,42,0
840,0,42,42
841,41,42,41
842,42,41,42
843,0,42,41
844,42,41,42
845,0,42,0
846,41,42,41
847,0,42,41
848,0,42,41
849,42,0,42
850,0,42,41
851,0,42,41
852,0,42,41
853,42,42,42
854,42,41,0
855,0,42,41
856,41,0,41
857,41,42,41
858,0,42,41
859,0,42,41
860,0,0,41
861,0,42,41
862,0,42,41
863,0,42,41
864,0,42,41
865,0,42,41
866,41,42,41
867,0,42,41
868,0,42,41
869,0,42,41
870,0,42,41
871,0,42,41
872,0,42,41
873,0,42,41
874,0,42,41
875,0,42,41
876,0,42,41
877,0,42,41
878,41,0,41
879,41,0,41
880,0,42,41
881,0,42,41
882,0,42,41
883,0,42,41
884,0,42,41
885,42,41,42
886,0,42,41
887,0,0,41
888,0,42,41
889,0,42,41
890,0,42,41
891,0,42,41
892,0,42,41
893,41,0,41
894,41,42,41
895,0,42,41
896,41,0,41
897,0,42,41
898,0,42,41
899,0,42,0
900,0,42,41
901,0,42,41
902,0,42,41
903,0,0,41
904,0,42,0
905,41,42,41
906,0,0,41
907,0,42,41
908,0,42,0
909,41,42,41
910,42,42,0
911,0,42,41
912,0,42,41
913,0,42,41
914,0,42,41
915,41,42,41
916,42,41,42
917,0,42,41
918,0,42,41
919,41,42,41
920,42,42,0
921,41,0,41
922,0,0,41
923,0,42,41
924,41,0,41
925,0,42,41
926,0,42,41
927,0,42,41
928,41,42,41
929,0,42,41
930,0,42,41
931,41,0,41
932,0,42,41
933,0,42,41
934,0,42,41
935,0,0,41
936,0,42,41
937,0,42,0
938,0,42,41
939,0,0,41
940,0,42,41
941,41,0,41
942,0,42,41
943,41,42,41
944,0,42,41
945,0,42,41
946,0,42,41
947,0,42,41
948,41,42,41
949,0,42,41
